epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1111.13,1.18639,0.59565,1.24593,0.96987,0.96532,0.9677,0.60763,1.35694,0.54488,1.40187,0.0014654,0.0014654,0.0014654
56,1136.67,1.20356,0.60409,1.25771,0.94871,0.96229,0.97105,0.6009,1.34819,0.54497,1.40348,0.0014555,0.0014555,0.0014555
57,1165.32,1.20362,0.59277,1.25135,0.96925,0.96532,0.96626,0.59951,1.29438,0.52698,1.36741,0.0014456,0.0014456,0.0014456
58,1191.88,1.17979,0.58174,1.25511,0.97514,0.97688,0.97129,0.59091,1.33618,0.51351,1.37642,0.0014357,0.0014357,0.0014357
59,1218.91,1.17523,0.59165,1.23971,0.95726,0.97688,0.97612,0.58892,1.34219,0.54323,1.40336,0.0014258,0.0014258,0.0014258
60,1246.91,1.16692,0.58287,1.2415,0.96578,0.98266,0.98482,0.60665,1.34436,0.52652,1.39626,0.0014159,0.0014159,0.0014159
61,1274.53,1.17398,0.60152,1.26254,0.97105,0.96957,0.97735,0.60485,1.34014,0.51179,1.38328,0.001406,0.001406,0.001406
62,1301.62,1.16326,0.58014,1.22976,0.97408,0.96532,0.97465,0.58298,1.33486,0.51013,1.39769,0.0013961,0.0013961,0.0013961
63,1328.79,1.15503,0.57532,1.22023,0.96564,0.9711,0.97073,0.57615,1.38472,0.52791,1.41839,0.0013862,0.0013862,0.0013862
64,1355.49,1.16894,0.58479,1.23481,0.95763,0.97688,0.98104,0.59735,1.35333,0.54042,1.39906,0.0013763,0.0013763,0.0013763
65,1379.82,1.16075,0.58413,1.2309,0.96021,0.97637,0.97266,0.61013,1.30197,0.52322,1.35282,0.0013664,0.0013664,0.0013664
66,1408.42,1.15564,0.56538,1.22844,0.96411,0.97688,0.97646,0.60873,1.33132,0.50626,1.37446,0.0013565,0.0013565,0.0013565
67,1436.14,1.15322,0.56794,1.24316,0.95983,0.9711,0.97593,0.61498,1.30246,0.51764,1.35818,0.0013466,0.0013466,0.0013466
68,1463.92,1.18008,0.58311,1.23806,0.9579,0.95954,0.97532,0.59605,1.31075,0.52223,1.35658,0.0013367,0.0013367,0.0013367
69,1491.59,1.12985,0.56211,1.21586,0.95843,0.96532,0.97931,0.61775,1.3005,0.49306,1.33986,0.0013268,0.0013268,0.0013268
70,1518.99,1.13175,0.56872,1.20325,0.96367,0.97688,0.96718,0.59197,1.33824,0.51636,1.38237,0.0013169,0.0013169,0.0013169
71,1546.66,1.11647,0.5621,1.21653,0.93236,0.95954,0.9595,0.5925,1.35175,0.54433,1.41631,0.001307,0.001307,0.001307
72,1574.47,1.13028,0.56334,1.22505,0.95399,0.9711,0.97047,0.60016,1.33758,0.53082,1.39965,0.0012971,0.0012971,0.0012971
73,1602.4,1.16092,0.56465,1.22859,0.96519,0.97688,0.96815,0.6071,1.34797,0.51078,1.38631,0.0012872,0.0012872,0.0012872
74,1630.08,1.15996,0.57005,1.23775,0.96018,0.97559,0.97296,0.60444,1.33601,0.51748,1.41028,0.0012773,0.0012773,0.0012773
75,1657.79,1.11069,0.5457,1.22599,0.96541,0.96801,0.97588,0.6022,1.33815,0.5206,1.39503,0.0012674,0.0012674,0.0012674
76,1685.43,1.12623,0.55302,1.21393,0.95388,0.96532,0.97034,0.60399,1.32655,0.51215,1.37419,0.0012575,0.0012575,0.0012575
77,1713.13,1.13008,0.55553,1.2197,0.96999,0.9711,0.98077,0.61411,1.30923,0.49719,1.35952,0.0012476,0.0012476,0.0012476
78,1740.8,1.11251,0.55275,1.21739,0.95991,0.96877,0.97099,0.60495,1.3233,0.51643,1.38156,0.0012377,0.0012377,0.0012377
79,1768.55,1.12921,0.55635,1.2148,0.95911,0.96532,0.96881,0.60278,1.33,0.50748,1.38966,0.0012278,0.0012278,0.0012278
80,1795.77,1.11123,0.52773,1.20482,0.97108,0.97037,0.97083,0.60931,1.32489,0.50048,1.38971,0.0012179,0.0012179,0.0012179
81,1823.75,1.11236,0.55486,1.2131,0.97575,0.98844,0.98309,0.59405,1.34351,0.50895,1.40851,0.001208,0.001208,0.001208
82,1851.43,1.12464,0.54592,1.20872,0.95973,0.96423,0.97264,0.60022,1.3509,0.5305,1.37753,0.0011981,0.0011981,0.0011981
83,1879.11,1.09441,0.54179,1.20255,0.9658,0.98266,0.98004,0.60413,1.31436,0.50162,1.37348,0.0011882,0.0011882,0.0011882
84,1906.96,1.10301,0.53265,1.18927,0.97628,0.95164,0.97678,0.60556,1.33144,0.51536,1.37918,0.0011783,0.0011783,0.0011783
85,1934.84,1.08407,0.52319,1.19004,0.96557,0.98844,0.98432,0.6099,1.33071,0.50259,1.35901,0.0011684,0.0011684,0.0011684
86,1962.53,1.10691,0.52842,1.20589,0.97102,0.96839,0.97904,0.61133,1.32361,0.49729,1.38806,0.0011585,0.0011585,0.0011585
87,1990.3,1.09379,0.54173,1.20141,0.95969,0.96342,0.96893,0.59003,1.30636,0.50637,1.37285,0.0011486,0.0011486,0.0011486
88,2017.9,1.06271,0.51865,1.17428,0.95997,0.97037,0.9712,0.61303,1.30708,0.49998,1.36166,0.0011387,0.0011387,0.0011387
